# Cities: name, latitude, longitude
La Crosse, 43.8, -91.24
La Crescent, 43.83, -91.3
Winona, 44.06, -91.67
Minneapolis, 44.98, -93.27
Shanghai, 31.23, 121.47
Bombay, 18.96, 72.82
Karachi, 24.86, 67.01
Buenos Aires, -34.61, -58.37
Delhi, 28.67, 77.21
Istanbul, 41.1, 29.0
Manila, 14.62, 120.97
Sao Paulo, -23.53, -46.63
Moscow, 55.75, 37.62
Dhaka, 23.7, 90.39
Soul, 37.56, 126.99
Lagos, 6.5, 3.35
Kinshasa, -4.31, 15.32
Tokyo, 35.67, 139.77
Mexico City, 19.43, -99.14
Jakarta, -6.18, 106.83
New York, 40.67, -73.94
Tehran, 35.67, 51.43
Cairo, 30.06, 31.25
Lima, -12.07, -77.05
Peking, 39.93, 116.4
London, 51.52, -0.1
Bogota, 4.63, -74.09
Lahore, 31.56, 74.35
Rio de Janeiro, -22.91, -43.2
Bangkok, 13.73, 100.5
Bagdad, 33.33, 44.44
Bangalore, 12.97, 77.56
Santiago (Chile), -33.46, -70.64
Calcutta, 22.57, 88.36
Singapore, 1.3, 103.85
Toronto, 43.65, -79.38
Rangoon, 16.79, 96.15
Ibadan, 7.38, 3.93
Riyadh, 24.65, 46.77
Madras, 13.09, 80.27
Chongqing, 29.57, 106.58
Ho Chi Minh City, 10.78, 106.69
Xian, 34.27, 108.9
Wuhan, 30.58, 114.27
Alexandria, 31.22, 29.95
Saint Petersburg, 59.93, 30.32
Hyderabad (India), 17.4, 78.48
Chengdu, 30.67, 104.07
Abidjan, 5.33, -4.03
Ankara, 39.93, 32.85
Ahmadabad, 23.03, 72.58
Los Angeles, 34.11, -118.41
Tianjin, 39.13, 117.2
Chattagam, 22.33, 91.81
Sydney, -33.87, 151.21
Yokohama, 35.47, 139.62
Melbourne, -37.81, 144.96
Shenyang, 41.8, 123.45
Cape Town, -33.93, 18.46
Berlin, 52.52, 13.38
Pusan, 35.11, 129.03
Montreal, 45.52, -73.57
Harbin, 45.75, 126.65
Durban, -29.87, 30.99
Gizeh, 30.01, 31.21
Nanjing, 32.05, 118.78
Casablanca, 33.6, -7.62
Pune, 18.53, 73.84
Addis Abeba, 9.03, 38.74
Pyongyang, 39.02, 125.75
Surat, 21.2, 72.82
Madrid, 40.42, -3.71
Guangzhou, 23.12, 113.25
Jiddah, 21.5, 39.17
Kanpur, 26.47, 80.33
Nairobi, -1.29, 36.82
Jaipur, 26.92, 75.8
Dar es Salaam, -6.82, 39.28
Salvador, -12.97, -38.5
Chicago, 41.84, -87.68
Taiyuan, 37.87, 112.55
al-Mawsil, 36.34, 43.14
Faisalabad, 31.41, 73.11
Changchun, 43.87, 125.35
Izmir, 38.43, 27.15
Taibei, 25.02, 121.45
Osaka, 34.68, 135.5
Lakhnau, 26.85, 80.92
Kiev, 50.43, 30.52
Luanda, -8.82, 13.24
Inchon, 37.48, 126.64
Rome, 41.89, 12.5
Dakar, 14.72, -17.48
Belo Horizonte, -19.92, -43.94
Fortaleza, -3.78, -38.59
Mashhad, 36.27, 59.57
Maracaibo, 10.73, -71.66
Kabul, 34.53, 69.17
Santo Domingo, 18.48, -69.91
Taegu, 35.87, 128.6
Brasilia, -15.78, -47.91
Umm Durman, 15.65, 32.48
Nagpur, 21.16, 79.08
Surabaya, -7.24, 112.74
Kano, 12.0, 8.52
Medellin, 6.29, -75.54
Accra, 5.56, -0.2
Nagoya, 35.15, 136.91
Benin, 6.34, 5.62
Shijiazhuang, 38.05, 114.48
Guayaquil, -2.21, -79.9
Changsha, 28.2, 112.97
Houston, 29.77, -95.39
Khartoum, 15.58, 32.52
Paris, 48.86, 2.34
Cali, 3.44, -76.52
Algiers, 36.77, 3.04
Jinan, 36.67, 117.0
Havanna, 23.13, -82.39
Tashkent, 41.31, 69.3
Dalian, 38.92, 121.65
Jilin, 43.85, 126.55
Nanchang, 28.68, 115.88
Zhengzhou, 34.75, 113.67
Vancouver, 49.28, -123.13
Johannesburg, -26.19, 28.04
Bayrut, 33.89, 35.5
Douala, 4.06, 9.71
Jiulong, 22.32, 114.17
Caracas, 10.54, -66.93
Kaduna, 10.52, 7.44
Bucharest, 44.44, 26.1
Ecatepec, 19.6, -99.05
Sapporo, 43.06, 141.34
Port Harcourt, 4.81, 7.01
Hangzhou, 30.25, 120.17
Rawalpindi, 33.6, 73.04
San'a, 15.38, 44.21
Conakry, 9.55, -13.67
Curitiba, -25.42, -49.29
al-Basrah, 30.53, 47.82
Brisbane, -27.46, 153.02
Xinyang, 32.13, 114.07
Medan, 3.59, 98.67
Indore, 22.72, 75.86
Manaus, -3.12, -60.02
Kumasi, 6.69, -1.63
Hamburg, 53.55, 10.0
Rabat, 34.02, -6.84
Minsk, 53.91, 27.55
Patna, 25.62, 85.13
Valencia (Venezuela), 10.23, -67.98
Bhopal, 23.24, 77.4
Soweto, -26.28, 27.84
Warsaw, 52.26, 21.02
Qingdao, 36.07, 120.32
Vienna, 48.22, 16.37
Yaounde, 3.87, 11.52
Dubai, 25.27, 55.33
Thana, 19.2, 72.97
Aleppo, 36.23, 37.17
Bekasi, -6.22, 106.97
Budapest, 47.51, 19.08
Bamako, 12.65, -7.99
Ludhiana, 30.91, 75.84
Harare, -17.82, 31.05
Esfahan, 32.68, 51.68
Pretoria, -25.73, 28.22
Barcelona (Spain), 41.4, 2.17
Lubumbashi, -11.66, 27.48
Bandung, -6.91, 107.6
Guadalajara, 20.67, -103.35
Tangshan, 39.62, 118.19
Muqdisho, 2.05, 45.33
Phoenix, 33.54, -112.07
Damascus, 33.5, 36.32
Quito, -0.19, -78.5
Agra, 27.19, 78.01
Urumqi, 43.8, 87.58
Davao, 7.11, 125.63
Santa Cruz, -17.77, -63.21
Antananarivo, -18.89, 47.51
Kobe, 34.68, 135.17
Juarez, 31.74, -106.49
Tijuana, 32.53, -117.02
Recife, -8.08, -34.92
Multan, 30.2, 71.45
Ha Noi, 21.03, 105.84
Gaoxiong, 22.63, 120.27
Belem, -1.44, -48.5
Cordoba, -31.4, -64.19
Kampala, 0.32, 32.58
Lome, 6.17, 1.35
Hyderabad (Pakistan), 25.38, 68.37
Suzhou, 31.3, 120.62
Vadodara, 22.31, 73.18
Gujranwala, 32.16, 74.18
Bursa, 40.2, 29.08
Mbuji-Mayi, -6.13, 23.59
Pimpri, 18.62, 73.8
Karaj, 35.8, 50.97
Kyoto, 35.01, 135.75
Tangerang, -6.18, 106.63
Aba, 5.1, 7.35
Kharkiv, 49.98, 36.22
Puebla, 19.05, -98.22
Nashik, 20.01, 73.78
Kuala Lumpur, 3.16, 101.71
Philadelphia, 40.01, -75.13
Fukuoka, 33.59, 130.41
Taejon, 36.33, 127.43
Lanzhou, 36.05, 103.68
Mecca, 21.43, 39.82
Shantou, 23.37, 116.67
Koyang, 37.7, 126.93
Hefei, 31.85, 117.28
Novosibirsk, 55.04, 82.93
Porto Alegre, -30.04, -51.22
Adana, 37.0, 35.32
Makasar, -5.14, 119.41
Tabriz, 38.08, 46.3
Narayanganj, 23.62, 90.5
Faridabad, 28.38, 77.3
Fushun, 41.87, 123.88
Phnum Penh, 11.57, 104.92
Luoyang, 34.68, 112.47
Khulna, 22.84, 89.56
Depok, -6.39, 106.83
Lusaka, -15.42, 28.29
Ghaziabad, 28.66, 77.41
Handan, 36.58, 114.48
San Antonio, 29.46, -98.51
Kawasaki, 35.53, 139.7
Kwangju, 35.16, 126.91
Peshawar, 34.01, 71.54
Rajkot, 22.31, 70.79
Suwon, 37.26, 127.01
Mandalay, 21.98, 96.09
Almaty, 43.32, 76.92
Munich, 48.14, 11.58
Mirat, 28.99, 77.7
Baotou, 40.6, 110.05
Milan, 45.48, 9.19
Rongcheng, 23.54, 116.34
Kalyan, 19.25, 73.16
Montevideo, -34.87, -56.17
Xianggangdao, 22.27, 114.14
Yekaterinburg, 56.85, 60.6
Ouagadougou, 12.37, -1.53
Guarulhos, -23.46, -46.49
Semarang, -6.97, 110.42
Xuzhou, 34.27, 117.18
Perth, -31.96, 115.84
Dallas, 32.79, -96.77
Stockholm, 59.33, 18.07
Palembang, -2.99, 104.75
San Diego, 32.81, -117.14
Goiania, -16.72, -49.26
Gaziantep, 37.07, 37.39
Nizhniy Novgorod, 56.33, 44.0
Shiraz, 29.63, 52.57
Rosario, -32.94, -60.67
Fuzhou, 26.08, 119.3
Nezahualcoyotl, 19.41, -99.03
Saitama, 35.87, 139.64
Shenzhen, 22.53, 114.13
Yerevan, 40.17, 44.52
Tripoli, 32.87, 13.18
Anshan, 41.12, 122.95
Varanasi, 25.32, 83.01
Guiyang, 26.58, 106.72
Baku, 40.39, 49.86
Wuxi, 31.58, 120.3
Prague, 50.08, 14.43
Brazzaville, -4.25, 15.26
Subang Jaya, 3.15, 101.53
Leon, 21.12, -101.69
Hiroshima, 34.39, 132.44
Amritsar, 31.64, 74.87
Huainan, 32.63, 116.98
Barranquilla, 10.96, -74.8
Monrovia, 6.31, -10.8
'Amman, 31.95, 35.93
Tbilisi, 41.72, 44.79
Abuja, 9.06, 7.49
Aurangabad, 19.89, 75.32
Sofia, 42.69, 23.31
Omsk, 55.0, 73.4
Monterrey, 25.67, -100.32
Port Elizabeth, -33.96, 25.59
Navi Mumbai, 19.11, 73.06
Maputo, -25.95, 32.57
Allahabad, 25.45, 81.84
Samara, 53.2, 50.15
Belgrade, 44.83, 20.5
Campinas, -22.91, -47.08
Sholapur, 17.67, 75.89
Kazan, 55.75, 49.13
Irbil, 36.18, 44.01
Barquisimeto, 10.05, -69.3
Kbenhavn, 55.67, 12.58
Xianyang, 34.37, 108.7
Baoding, 38.87, 115.48
